time,ax,ay,az
14.325425,1.3156,0.7488,1.0544
14.32652,1.8323,0.9526,1.2672
14.366383,1.8323,0.9526,1.2672
14.367739,1.8323,0.9526,1.2672
14.368515,1.8323,0.9526,1.2672
14.402426,1.3637,-0.6833,1.9717
14.404653,1.3637,-0.6833,1.9717
14.425484,1.3637,-0.6833,1.9717
14.426828,1.3637,-0.6833,1.9717
14.427711,1.3637,-0.6833,1.9717
14.4797,0.2984,-1.9974,0.2619
14.481723,0.2984,-1.9974,0.2619
14.484427,0.2984,-1.9974,0.2619
14.485301,0.2984,-1.9974,0.2619
14.485956,0.2984,-1.9974,0.2619
14.543647,0.2984,-1.9974,0.2619
14.544495,0.2984,-1.9974,0.2619
14.544952,0.2984,-1.9974,0.2619
14.55538,0.2984,-1.9974,0.2619
14.555972,-0.8164,-0.9059,-1.7843
14.593646,-0.8164,-0.9059,-1.7843
14.594455,-0.8164,-0.9059,-1.7843
14.601199,-0.8164,-0.9059,-1.7843
14.601714,-0.8164,-0.9059,-1.7843
14.601968,-0.8164,-0.9059,-1.7843
14.660176,-0.8164,-0.9059,-1.7843
14.660762,-0.8164,-0.9059,-1.7843
14.661034,-0.8164,-0.9059,-1.7843
14.67691,-0.8164,-0.9059,-1.7843
14.677501,-0.0583,0.4159,-0.4822
14.719375,-0.0583,0.4159,-0.4822
14.720091,-0.0583,0.4159,-0.4822
14.720424,-0.0583,0.4159,-0.4822
14.747379,1.3725,1.2333,0.2927
14.749039,1.3725,1.2333,0.2927
14.777669,1.3725,1.2333,0.2927
14.778295,1.3725,1.2333,0.2927
14.778613,1.3725,1.2333,0.2927
14.82438,1.1709,1.4372,-1.8985
14.825424,1.1709,1.4372,-1.8985
14.836606,1.1709,1.4372,-1.8985
14.837182,1.1709,1.4372,-1.8985
14.837454,1.1709,1.4372,-1.8985
14.863885,0.8512,1.4038,0.2595
14.866024,0.8512,1.4038,0.2595
14.896043,0.8512,1.4038,0.2595
14.8972,0.8512,1.4038,0.2595
14.897627,0.8512,1.4038,0.2595
14.941149,2.0606,-0.0203,1.4137
14.942903,2.0606,-0.0203,1.4137
14.955525,2.0606,-0.0203,1.4137
14.956732,2.0606,-0.0203,1.4137
14.957489,2.0606,-0.0203,1.4137
15.015015,2.0606,-0.0203,1.4137
15.016934,2.0606,-0.0203,1.4137
15.017908,2.0606,-0.0203,1.4137
15.018822,2.0606,-0.0203,1.4137
15.019666,-2.6898,-1.3917,1.7815
15.07295,-2.6898,-1.3917,1.7815
15.074422,-2.6898,-1.3917,1.7815
15.075121,-2.6898,-1.3917,1.7815
15.094793,-2.6898,-1.3917,1.7815
15.096392,-0.2999,-1.4783,-1.9674
15.132527,-0.2999,-1.4783,-1.9674
15.135501,-0.2999,-1.4783,-1.9674
15.136014,-0.2999,-1.4783,-1.9674
15.136719,-1.3875,-1.2196,-2.562
15.13794,-1.3875,-1.2196,-2.562
15.190522,-1.3875,-1.2196,-2.562
15.191509,-1.3875,-1.2196,-2.562
15.192099,-1.3875,-1.2196,-2.562
15.269694,-1.3875,-1.2196,-2.562
15.270303,2.069,-0.4844,-2.99
15.270807,2.069,-0.4844,-2.99
15.271055,2.069,-0.4844,-2.99
15.271308,2.069,-0.4844,-2.99
15.28952,4.5185,-0.2188,-0.9027
15.290313,4.5185,-0.2188,-0.9027
15.338851,4.5185,-0.2188,-0.9027
15.339409,4.5185,-0.2188,-0.9027
15.339909,4.5185,-0.2188,-0.9027
