time,Latitude,Longitude,Speed (m/s)
13.520003,55.75192179,48.74360658,1.21000004
13.540961,55.75192179,48.74360658,1.21000004
13.542379,55.75192179,48.74360658,1.21000004
13.543363,55.75192179,48.74360658,1.21000004
13.595087,55.75192179,48.74360658,1.21000004
13.597113,55.75192179,48.74360658,1.21000004
13.59983,55.75192179,48.74360658,1.21000004
13.600673,55.75192179,48.74360658,1.21000004
13.601315,55.75192179,48.74360658,1.21000004
13.658784,55.75192179,48.74360658,1.21000004
13.660429,55.75192179,48.74360658,1.21000004
13.661313,55.75192179,48.74360658,1.21000004
13.672109,55.75192179,48.74360658,1.21000004
13.673706,55.75192179,48.74360658,1.21000004
13.718475,55.75192179,48.74360658,1.21000004
13.719804,55.75192179,48.74360658,1.21000004
13.720525,55.75192179,48.74360658,1.21000004
13.749204,55.75192179,48.74360658,1.21000004
13.751259,55.75192179,48.74360658,1.21000004
13.77751,55.75192179,48.74360658,1.21000004
13.778428,55.75192179,48.74360658,1.21000004
13.778802,55.75192179,48.74360658,1.21000004
13.78757,55.75192179,48.74360658,1.21000004
13.788448,55.75192179,48.74360658,1.21000004
13.836017,55.75192179,48.74360658,1.21000004
13.836846,55.75192179,48.74360658,1.21000004
13.837229,55.75192179,48.74360658,1.21000004
13.864947,55.75192179,48.74360658,1.21000004
13.866593,55.75192179,48.74360658,1.21000004
13.895596,55.75192179,48.74360658,1.21000004
13.897076,55.75192179,48.74360658,1.21000004
13.897974,55.75192179,48.74360658,1.21000004
13.940766,55.75192179,48.74360658,1.21000004
13.94286,55.75192179,48.74360658,1.21000004
13.954421,55.75192179,48.74360658,1.21000004
13.955625,55.75192179,48.74360658,1.21000004
13.956229,55.75192179,48.74360658,1.21000004
14.012758,55.75192179,48.74360658,1.21000004
14.013905,55.75192179,48.74360658,1.21000004
14.014276,55.75192179,48.74360658,1.21000004
14.017404,55.75192179,48.74360658,1.21000004
14.018293,55.75192179,48.74360658,1.21000004
14.056696,55.75192179,48.74360658,1.21000004
14.058188,55.75192179,48.74360658,1.21000004
14.071821,55.75192179,48.74360658,1.21000004
14.07338,55.75192179,48.74360658,1.21000004
14.07426,55.75192179,48.74360658,1.21000004
14.130427,55.75192179,48.74360658,1.21000004
14.131826,55.75192179,48.74360658,1.21000004
14.132713,55.75192179,48.74360658,1.21000004
14.13383,55.75192179,48.74360658,1.21000004
14.135235,55.75192179,48.74360658,1.21000004
14.189921,55.75192179,48.74360658,1.21000004
14.19124,55.75192179,48.74360658,1.21000004
14.193365,55.75192179,48.74360658,1.21000004
14.210743,55.75192179,48.74360658,1.21000004
14.212386,55.75192179,48.74360658,1.21000004
14.250432,55.75192179,48.74360658,1.21000004
14.252107,55.75192179,48.74360658,1.21000004
14.253318,55.75192179,48.74360658,1.21000004
14.285892,55.75192179,48.74360658,1.21000004
14.287072,55.75191203,48.74359808,1.20000005
14.307029,55.75191203,48.74359808,1.20000005
14.307871,55.75191203,48.74359808,1.20000005
14.308437,55.75191203,48.74359808,1.20000005
14.325425,55.75191203,48.74359808,1.20000005
14.32652,55.75191203,48.74359808,1.20000005
14.366383,55.75191203,48.74359808,1.20000005
14.367739,55.75191203,48.74359808,1.20000005
14.368515,55.75191203,48.74359808,1.20000005
14.402426,55.75191203,48.74359808,1.20000005
14.404653,55.75191203,48.74359808,1.20000005
14.425484,55.75191203,48.74359808,1.20000005
14.426828,55.75191203,48.74359808,1.20000005
14.427711,55.75191203,48.74359808,1.20000005
14.4797,55.75191203,48.74359808,1.20000005
14.481723,55.75191203,48.74359808,1.20000005
14.484427,55.75191203,48.74359808,1.20000005
14.485301,55.75191203,48.74359808,1.20000005
14.485956,55.75191203,48.74359808,1.20000005
14.543647,55.75191203,48.74359808,1.20000005
14.544495,55.75191203,48.74359808,1.20000005
14.544952,55.75191203,48.74359808,1.20000005
14.55538,55.75191203,48.74359808,1.20000005
14.555972,55.75191203,48.74359808,1.20000005
14.593646,55.75191203,48.74359808,1.20000005
14.594455,55.75191203,48.74359808,1.20000005
14.601199,55.75191203,48.74359808,1.20000005
14.601714,55.75191203,48.74359808,1.20000005
14.601968,55.75191203,48.74359808,1.20000005
14.660176,55.75191203,48.74359808,1.20000005
14.660762,55.75191203,48.74359808,1.20000005
14.661034,55.75191203,48.74359808,1.20000005
14.67691,55.75191203,48.74359808,1.20000005
14.677501,55.75191203,48.74359808,1.20000005
14.719375,55.75191203,48.74359808,1.20000005
14.720091,55.75191203,48.74359808,1.20000005
14.720424,55.75191203,48.74359808,1.20000005
14.747379,55.75191203,48.74359808,1.20000005
14.749039,55.75191203,48.74359808,1.20000005
14.777669,55.75191203,48.74359808,1.20000005
14.778295,55.75191203,48.74359808,1.20000005
14.778613,55.75191203,48.74359808,1.20000005
14.82438,55.75191203,48.74359808,1.20000005
14.825424,55.75191203,48.74359808,1.20000005
14.836606,55.75191203,48.74359808,1.20000005
14.837182,55.75191203,48.74359808,1.20000005
14.837454,55.75191203,48.74359808,1.20000005
14.863885,55.75191203,48.74359808,1.20000005
14.866024,55.75191203,48.74359808,1.20000005
14.896043,55.75191203,48.74359808,1.20000005
14.8972,55.75191203,48.74359808,1.20000005
14.897627,55.75191203,48.74359808,1.20000005
14.941149,55.75191203,48.74359808,1.20000005
14.942903,55.75191203,48.74359808,1.20000005
14.955525,55.75191203,48.74359808,1.20000005
14.956732,55.75191203,48.74359808,1.20000005
14.957489,55.75191203,48.74359808,1.20000005
15.015015,55.75191203,48.74359808,1.20000005
15.016934,55.75191203,48.74359808,1.20000005
15.017908,55.75191203,48.74359808,1.20000005
15.018822,55.75191203,48.74359808,1.20000005
15.019666,55.75191203,48.74359808,1.20000005
15.07295,55.75191203,48.74359808,1.20000005
15.074422,55.75191203,48.74359808,1.20000005
15.075121,55.75191203,48.74359808,1.20000005
15.094793,55.75191203,48.74359808,1.20000005
15.096392,55.75191203,48.74359808,1.20000005
15.132527,55.75191203,48.74359808,1.20000005
15.135501,55.75191203,48.74359808,1.20000005
15.136014,55.75191203,48.74359808,1.20000005
15.136719,55.75191203,48.74359808,1.20000005
15.13794,55.75191203,48.74359808,1.20000005
15.190522,55.75191203,48.74359808,1.20000005
15.191509,55.75191203,48.74359808,1.20000005
15.192099,55.75191203,48.74359808,1.20000005
15.269694,55.75191203,48.74359808,1.20000005
15.270303,55.75191203,48.74359808,1.20000005
15.270807,55.75191203,48.74359808,1.20000005
15.271055,55.75191203,48.74359808,1.20000005
15.271308,55.75191203,48.74359808,1.20000005
15.28952,55.75191203,48.74359808,1.20000005
15.290313,55.75190135,48.7435904,1.20000005
15.338851,55.75190135,48.7435904,1.20000005
15.339409,55.75190135,48.7435904,1.20000005
15.339909,55.75190135,48.7435904,1.20000005
